Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2000-02-16,5180,5200,4780,5000,3757.705322,73115000,4078.362874,4172.555615
2000-02-17,4940,5100,4910,5080,3817.829102,65185000,3903.003418,4064.333886
2000-02-18,5370,5630,5160,5300,3983.169922,108750000,3827.849528,3962.124609
2000-02-21,5200,5260,5030,5070,3810.313477,26485000,3852.901449,3902.001855
2000-02-22,5000,5240,5000,5120,3847.891113,24180000,3870.4375,3855.406397
2000-02-23,5220,5260,5100,5140,3862.921143,27720000,3880.458171,3843.381787
2000-02-24,5120,5240,5060,5070,3810.313477,26075000,3840.375244,3864.424951
2000-02-25,5080,5150,4980,5120,3847.891113,27875000,3840.375244,3862.921826
2000-02-28,5000,5050,4800,4800,3607.397705,30140000,3840.375244,3835.866065
2000-02-29,4900,5140,4840,5120,3847.891113,51820000,3755.200765,3795.28291
2000-03-01,5120,5120,5120,5120,3847.891113,0,3767.726644,3795.28291
2000-03-02,5880,5880,5520,5880,4419.062012,117750000,3767.726644,3792.276904
2000-03-03,6200,6250,5880,6000,4509.24707,140990000,4038.281413,3914.026611
2000-03-06,6000,6050,5600,5640,4238.694336,39150000,4258.733398,4046.297803
2000-03-07,5600,5640,5480,5620,4223.660156,30070000,4389.001139,4172.557129
2000-03-08,5520,6000,5500,5920,4449.123535,32460000,4323.867187,4247.710937
2000-03-09,5970,5980,5620,5620,4223.660156,55890000,4303.826009,4367.957422
2000-03-10,5790,5800,5520,5540,4163.535645,28605000,4298.814616,4328.877051
2000-03-13,5480,5490,5160,5180,3892.982178,32215000,4278.773112,4259.734766
2000-03-14,5170,5380,5160,5210,3915.529541,30060000,4093.39266,4190.592334
2000-03-15,5200,5400,5120,5400,4058.322266,46105000,3990.682455,4128.966211
2000-03-16,5480,5520,5360,5400,4058.322266,28795000,3955.611328,4050.805957
2000-03-17,5540,5560,5400,5480,4118.443848,24080000,4010.724691,4017.738379
2000-03-20,5600,5710,5530,5660,4253.722168,26365000,4078.362793,4008.72002
2000-03-21,5700,5940,5610,5880,4419.062012,44925000,4143.496094,4080.868018
2000-03-22,5960,6300,5880,6200,4659.554688,86975000,4263.742676,4181.574512
